municipio;codigo_municipio;gentilico;prefeito_2017;area;populacao;densidade_demografica_2010;escolaridade_2010;idh_municipal_2010;mortalidade_infantil_mortes_por_mil_nascimentos_2017;receitas_realizadas_reais_x_mil_2017;despesas_empenhadas_reais_x_mil_2017;pib_per_capita_reais_2017
Rio das Flores;3304508;rio-florense;VICENTE DE PAULA DE SOUZA GUEDES;478,783;9284;17,9;98,5;0,68;19,8;47768,51715;46492,10566;27130,08
Rio das Ostras;3304524;rio ostrense;MARCELINO CARLOS DIAS BORBA;228,044;150674;461,38;98,2;0,773;9,3;590854,1744;433485,3222;39667,24
Rio de Janeiro;3304557;carioca;MARCELO BEZERRA CRIVELLA;1200,329;6718903;5265,82;96,9;0,799;11,22;26018740,29;26572047,26;51776,18
Santa Maria Madalena;3304607;madalenense;CARLOS ALBERTO DE MATOS BOTELHO;810,963;10404;12,67;98,3;0,668;20,2;56550,95226;48045,36228;17048,75
Santo Antônio de Pádua;3304706;paduano;JOSIAS QUINTAL DE OLIVEIRA;603,633;42479;67,27;98,1;0,718;9,84;126453,389;114166,6799;25401,13
São Francisco de Itabapoana;3304755;são-franciscano;FRANCIMARA AZEREDO DA SILVA BARBOSA LEMO;1118,037;42205;36,84;98;0,639;11,04;130703,5058;119247,5232;22811,47
São Fidélis;3304805;fidelense;AMARILDO HENRIQUE ALCANTARA;1034,833;38669;36,39;97,1;0,691;20,57;103821,359;101339,7424;17769,28
São Gonçalo;3304904;gonçalense;JOSÉ LUIZ NANCI;248,16;1084839;4035,9;96,7;0,739;12,75;1064524,128;1051761,388;16408,34
São João da Barra;3305000;são-joanense;CARLA MARIA MACHADO DOS SANTOS;452,396;36102;71,96;97,5;0,671;17,51;335137,2724;276058,7271;133281,92
São João de Meriti;3305109;meritiense;JOÃO FERREIRA NETO;35,216;472406;13024,56;96,6;0,719;16,96;585396,7492;627408,8125;19968,09
São José de Ubá;3305133;ubaense;MARCIONILIO BOTELHO MOREIRA;249,688;7171;27,98;99,2;0,652;9,43;43973,36859;33290,60842;22976,25
São José do Vale do Rio Preto;3305158;rio-pretano;GILBERTO MARTINS ESTEVES;220,178;21795;91,87;98,4;0,66;3,65;66871,50357;60327,99037;20730,56
São Pedro da Aldeia;3305208;aldeense;CLÁUDIO VASQUE CHUMBINHO DOS SANTOS;332,488;104476;264,05;97,9;0,712;10,3;220068,485;211045,4779;21607,38
São Sebastião do Alto;3305307;altense;CARLOS OTAVIO DA SILVA RODRIGUES;397,214;9357;22,35;94,6;0,646;9,9;49727,88665;46162,23507;19915,55
Sapucaia;3305406;sapucaiense;FABRICIO DOS SANTOS BAIÃO;540,673;18228;32,35;97,3;0,675;20,83;83254,72213;75003,28822;39777,44
Saquarema;3305505;saquaremense;MANOELA RAMOS DE SOUZA GOMES ALVES;352,13;89170;209,96;96,3;0,709;9,11;302249,5434;247728,1383;24569,66
Seropédica;3305554;seropedicense;ANABAL BARBOSA DE SOUZA;265,189;82312;275,53;97,5;0,713;14,07;Não informado;Não informado;49882,41
Silva Jardim;3305604;silva-jardinense;WANDERSON GIMENES ALEXANDRE;937,755;21774;22,77;98,8;0,654;6,99;140087,5328;119905,9886;21112,23
Sumidouro;3305703;sumidourense;ELIESIO PERES DA SILVA;413,407;15623;37,67;93,5;0,611;4,39;67426,72601;55359,93986;23666,31
Tanguá;3305752;tanguaense;VALBER LUIZ MARCELO DE CARVALHO;143,007;34309;211,21;98,1;0,654;6,51;93356,38756;89046,69428;15627,69
Teresópolis;3305802;teresopolitano;VINICIUS CARDOSO CLAUSSEN DA SILVA;773,338;182594;212,49;96,2;0,73;12,61;461159,0705;443127,6738;28882,28
Trajano de Moraes;3305901;trajanense;RODRIGO FREIRE VIANA;591,151;10626;17,44;98,4;0,667;17,54;55090,26805;49211,94293;17388,4
Três Rios;3306008;trirriense;JOSIMAR SALES MAIA;322,843;81804;237,42;97,9;0,725;11,73;264323,7664;250872,1443;46779,06
Valença;3306107;valenciano;LUIZ FERNANDO FURTADO DA GRAÇA;1300,767;76523;55,06;97,7;0,738;9,73;186322,9048;167226,2019;29619,67
Varre-Sai;3306156;varresaiense;SILVESTRE JOSÉ GORINI;201,938;11000;49,85;96,8;0,659;12,82;53100,92583;42821,87075;17270,67
Vassouras;3306206;vassourense;SEVERINO ANANIAS DIAS FILHO;536,073;36896;63,94;98,8;0,714;10,22;137029,5821;122405,9148;25670,96
Volta Redonda;3306305;volta-redondense;ELDERSON FERREIRA DA SILVA;182,105;273012;1412,75;98,5;0,771;9,78;869283,5664;825227,0683;42626,52
